A0A087WZU1	phosphatidylinositol_phosphatase_ptprq
Q15291	retinoblastoma-binding_protein_5
Q15291	retinoblastoma-binding_protein_rbq-3
Q15303	erbb4_intracellular_domain
Q15303	p180erbb4
Q15303	proto-oncogene-like_protein_c-erbb-4
Q15303	receptor_tyrosine-protein_kinase_erbb-4
Q15303	s80her4
Q15303	tyrosine_kinase-type_cell_surface_receptor_her4
Q15306	interferon_regulatory_factor_4
Q15306	lymphocyte-specific_interferon_regulatory_factor
Q15306	multiple_myeloma_oncogene_1
Q15306	nf-em5
Q15311	76_kda_ral-interacting_protein
Q15311	dinitrophenyl_s-glutathione_atpase
Q15311	rala-binding_protein_1
Q15311	ral-interacting_protein_1
Q15326	adenovirus_5_e1a-binding_protein
Q15326	bone_morphogenetic_protein_receptor-associated_molprotein_bs69
Q15326	protein_bs69
Q15326	zinc_finger_mynd_domain-containing_protein_11
Q15365	alpha-cp1
Q15365	heterogeneous_nuclear_ribonucleoprotein_e1
Q15365	nucleic_acid-binding_protein_sub2.3
Q15365	poly(rc)-binding_protein_1
Q15366	alpha-cp2
Q15366	heterogeneous_nuclear_ribonucleoprotein_e2
Q15366	poly(rc)-binding_protein_2
Q15369	elongin_15_kda_subunit
Q15369	elongin-c
Q15369	rna_polymerase_ii_transcription_factor_siii_subunisiii_p15
Q15369	siii_p15
Q15369	transcription_elongation_factor_b_polypeptide_1
Q15382	gtp-binding_protein_rheb
Q15382	ras_homolog_enriched_in_brain
Q15388	mitochondrial_20_kda_outer_membrane_protein
Q15388	mitochondrial_import_receptor_subunit_tom20_homolomitochondrial_20_kda_outer_membrane_protein
Q15388	outer_mitochondrial_membrane_receptor_tom20
Q15393	pre-mrna-splicing_factor_sf3b_130_kda_subunit
Q15393	spliceosome-associated_protein_130
Q15393	splicing_factor_3b_subunit_3
Q15393	staf130
Q15428	sf3a66
Q15428	spliceosome-associated_protein_62
Q15428	splicing_factor_3a_subunit_2
Q15436	protein_transport_protein_sec23a
Q15436	sec23-related_protein_a
Q15437	protein_transport_protein_sec23b
Q15437	sec23-related_protein_b
Q15459	sf3a120
Q15459	spliceosome-associated_protein_114
Q15459	splicing_factor_3a_subunit_1
Q15466	nuclear_receptor_subfamily_0_group_b_member_2
Q15466	orphan_nuclear_receptor_shp
Q15466	small_heterodimer_partner
Q15468	scl-interrupting_locus_protein
Q15468	tal-1-interrupting_locus_protein
Q15628	tnfrsf1a-associated_via_death_domain
Q15628	tumor_necrosis_factor_receptor_type_1-associated_dtnfrsf1a-associated_via_death_domain
Q15631	component_3_of_promoter_of_risc
Q15631	translin
Q15637	mammalian_branch_point-binding_protein
Q15637	splicing_factor_1
Q15637	transcription_factor_zfm1
Q15637	zinc_finger_gene_in_men1_locus
Q15637	zinc_finger_protein_162
Q15645	human_papillomavirus_type_16_e1_protein-binding_prthyroid_hormone_receptor_interactor_13
Q15645	pachytene_checkpoint_protein_2_homolog
Q15645	thyroid_hormone_receptor_interactor_13
Q15645	thyroid_receptor-interacting_protein_13
Q15652	jumonji_domain-containing_protein_1c
Q15652	probable_jmjc_domain-containing_histone_demethylatjumonji_domain-containing_protein_1c
Q15652	thyroid_receptor-interacting_protein_8
Q15653	i-kappa-b-beta
Q15653	nf-kappa-b_inhibitor_beta
Q15653	thyroid_receptor-interacting_protein_9
Q15691	apc-binding_protein_eb1
Q15691	end-binding_protein_1
Q15691	microtubule-associated_protein_rp/eb_family_memberapc-binding_protein_eb1
Q15714	cerebral_protein_2
Q15714	regulatory_protein_tsc-22
Q15714	tgfb-stimulated_clone_22_homolog
Q15714	transforming_growth_factor_beta-1-induced_transcript_4_protein
Q15714	tsc22_domain_family_protein_1
Q15717	elav-like_protein_1
Q15717	hu-antigen_r
Q15723	e74-like_factor_2
Q15723	ets-related_transcription_factor_elf-2
Q15723	new_ets-related_factor
Q15750	mitogen-activated_protein_kinase_kinase_kinase_7-itgf-beta-activated_kinase_1-binding_protein_1
Q15750	tgf-beta-activated_kinase_1_and_map3k7-binding_promitogen-activated_protein_kinase_kinase_kinase_7-itgf-beta-activated_kinase_1-binding_protein_1
Q15750	tgf-beta-activated_kinase_1-binding_protein_1
Q15758	baboon_m7_virus_receptor
Q15758	neutral_amino_acid_transporter_b(0)
Q15758	rd114/simian_type_d_retrovirus_receptor
Q15758	sodium-dependent_neutral_amino_acid_transporter_tysolute_carrier_family_1_member_5
Q15758	solute_carrier_family_1_member_5
Q15811	intersectin-1
Q15811	sh3_domain-containing_protein_1a
Q15811	sh3p17
Q15819	ddvit_1
Q15819	enterocyte_differentiation-associated_factor_1
Q15819	enterocyte_differentiation-promoting_factor_1
Q15819	mms2_homolog
Q15819	ubiquitin-conjugating_enzyme_e2_variant_2
Q15819	vitamin_d3-inducible_protein
Q15836	cellubrevin
Q15836	synaptobrevin-3
Q15836	vesicle-associated_membrane_protein_3
Q15843	nedd8
Q15843	neddylin
Q15843	neural_precursor_cell_expressed_developmentally_doubiquitin-like_protein_nedd8
Q15843	ubiquitin-like_protein_nedd8
Q15906	protein_yl-1
Q15906	transcription_factor-like_1
Q15906	vacuolar_protein_sorting-associated_protein_72_homprotein_yl-1
Q15907	gtp-binding_protein_ypt3
Q15907	ras-related_protein_rab-11b
Q15910	enhancer_of_zeste_homolog_2
Q15910	enx-1
Q15910	histone-lysine_n-methyltransferase_ezh2
Q15910	lysine_n-methyltransferase_6
Q16513	pkn_gamma
Q16513	protein_kinase_c-like_2
Q16513	protein-kinase_c-related_kinase_2
Q16513	serine/threonine-protein_kinase_n2
Q16526	cryptochrome-1
Q16531	damage-specific_dna-binding_protein_1
Q16531	ddb_p127_subunit
Q16531	dna_damage-binding_protein_1
Q16531	dna_damage-binding_protein_a
Q16531	hbv_x-associated_protein_1
Q16531	uv-damaged_dna-binding_factor
Q16531	uv-damaged_dna-binding_protein_1
Q16531	xeroderma_pigmentosum_group_e-complementing_protein
Q16531	xpe-binding_factor
Q16540	39s_ribosomal_protein_l23,_mitochondrial
Q16540	l23_mitochondrial-related_protein
Q16540	mitochondrial_large_ribosomal_subunit_protein_ul23ribosomal_protein_l23-like
Q16540	ribosomal_protein_l23-like
Q16543	hsp90_chaperone_protein_kinase-targeting_subunit
Q16543	hsp90_co-chaperone_cdc37
Q16543	hsp90_co-chaperone_cdc37,_n-terminally_processed
Q16543	p50cdc37
Q16576	histone_acetyltransferase_type_b_subunit_2
Q16576	histone-binding_protein_rbbp7
Q16576	nucleosome-remodeling_factor_subunit_rbap46
Q16576	retinoblastoma-binding_protein_7
Q16576	retinoblastoma-binding_protein_p46
Q16581	c3a_anaphylatoxin_chemotactic_receptor
Q16629	serine/arginine-rich_splicing_factor_7
Q16629	splicing_factor_9g8
Q16629	splicing_factor,_arginine/serine-rich_7
Q16633	b-cell-specific_coactivator_obf-1
Q16633	bob-1
Q16633	oca-b
Q16633	oct-binding_factor_1
Q16633	pou_domain_class_2-associating_factor_1
Q16637	component_of_gems_1
Q16637	gemin-1
Q16637	survival_motor_neuron_protein
Q16643	developmentally-regulated_brain_protein
Q16643	drebrin
Q16650	t-box_brain_protein_1
Q16650	tes-56
Q16656	alpha_palindromic-binding_protein
Q16656	nuclear_respiratory_factor_1
Q16658	55_kda_actin-bundling_protein
Q16658	fascin
Q16658	p55
Q16658	singed-like_protein
Q16665	arnt-interacting_protein
Q16665	basic-helix-loop-helix-pas_protein_mop1
Q16665	class_e_basic_helix-loop-helix_protein_78
Q16665	hypoxia-inducible_factor_1-alpha
Q16665	member_of_pas_protein_1
Q16665	pas_domain-containing_protein_8
Q16666-2	interferon-inducible_myeloid_differentiation_transcriptional_activator
Q16666-2	isoform_2_of_gamma-interferon-inducible_protein_16interferon-inducible_myeloid_differentiation_transcriptional_activator
Q16698	2,4-dienoyl-coa_reductase,_mitochondrial
Q16698	2,4-dienoyl-coa_reductase_[nadph]
Q16698	short_chain_dehydrogenase/reductase_family_18c_member_1
Q16739	ceramide_glucosyltransferase
Q16739	glct-1
Q16739	glucosylceramide_synthase
Q16739	udp-glucose_ceramide_glucosyltransferase
Q16739	udp-glucose:n-acylsphingosine_d-glucosyltransferase
Q16763	e2_ubiquitin-conjugating_enzyme_s
Q16763	e2-epf
Q16763	ubiquitin_carrier_protein_s
Q16763	ubiquitin-conjugating_enzyme_e2-24_kda
Q16763	ubiquitin-conjugating_enzyme_e2-epf5
Q16763	ubiquitin-conjugating_enzyme_e2_s
Q16763	ubiquitin-protein_ligase_s
Q16828	dual_specificity_protein_phosphatase_6
Q16828	dual_specificity_protein_phosphatase_pyst1
Q16828	mitogen-activated_protein_kinase_phosphatase_3
Q1RLN5	arhgap12_protein
Q1RLN5	rho_gtpase-activating_protein_12
Q29RF7	cell_proliferation-inducing_gene_54_protein
Q29RF7	sister_chromatid_cohesion_protein_112
Q29RF7	sister_chromatid_cohesion_protein_pds5_homolog_a
Q2MG95	bvlf1
Q2NKX8	atp-dependent_helicase_ercc6-like
Q2NKX8	dna_excision_repair_protein_ercc-6-like
Q2NKX8	plk1-interacting_checkpoint_helicase
Q2NKX8	tumor_antigen_bj-hcc-15
Q2VIR3	eukaryotic_translation_initiation_factor_2_subuniteukaryotic_translation_initiation_factor_2_subunit_gamma_a
Q2VIR3	eukaryotic_translation_initiation_factor_2_subunit_gamma_a
Q38SD2	leucine-rich_repeat_serine/threonine-protein_kinase_1
Q3MIX3	uncharacterized_aarf_domain-containing_protein_kinase_5
Q3U132	protein_tespa1
Q3U132	thymocyte-expressed_positive_selection-associated_protein_1
Q3U1J4	damage-specific_dna-binding_protein_1
Q3U1J4	ddb_p127_subunit
Q3U1J4	dna_damage-binding_protein_1
Q3U1J4	uv-damaged_dna-binding_factor
Q3U2S4	deubiquitinating_enzyme_a
Q3U2S4	otu_domain-containing_protein_5
Q3UJU9	protein_fam82a2
Q3UJU9	protein_fam82c
Q3UJU9	regulator_of_microtubule_dynamics_protein_3
Q3V6T2	akt_phosphorylation_enhancer
Q3V6T2	coiled-coil_domain-containing_protein_88a
Q3V6T2	g_alpha-interacting_vesicle-associated_protein
Q3V6T2	girders_of_actin_filament
Q3V6T2	girdin
Q3V6T2	hook-related_protein_1
Q3ZCM7	tubulin_beta-8_chain
Q3ZCM7	tubulin_beta_8_class_viii
Q3ZCQ8	mitochondrial_import_inner_membrane_translocase_subunit_tim50
Q4G148	glucoside_xylosyltransferase_1
Q4G148	glycosyltransferase_8_domain-containing_protein_3
Q4LE60	tnpo2_variant_protein
Q4VA12	tnf_receptor-associated_factor
Q4VGL6	protein_sanroque
Q4VGL6	ring_finger_and_c3h_zinc_finger_protein_1
Q4VGL6	ring_finger_and_ccch-type_zinc_finger_domain-containing_protein_1
Q4VGL6	roquin-1
Q4VW77	major_tegument_protein_vp8
Q4VW77	tegument_protein_ul47
Q4VW77	tegument_protein_vp13/14
Q4VW77	virion_protein
Q52KG5	kinesin-like_protein_kif26a
Q53EM5	transketolase_variant
Q53EQ6	tigger_transposable_element-derived_protein_5
Q53GS9	inactive_ubiquitin-specific_peptidase_39
Q53GS9	sad1_homolog
Q53GS9	u4/u6.u5_tri-snrnp-associated_65_kda_protein
Q53GS9	u4/u6.u5_tri-snrnp-associated_protein_2
Q53SF7	cordon-bleu_protein-like_1
Q562F6	shugoshin_2
Q562F6	shugoshin-2
Q562F6	shugoshin-like_2
Q562F6	tripin
Q56A08	g-patch_domain_and_kow_motifs-containing_protein
Q56A08	protein_mos2_homolog
Q58EX2	protein_sidekick-2
Q5BJH2-2	isoform_2_of_transmembrane_protein_128
Q5BKZ1	dbird_complex_subunit_znf326
Q5BKZ1	zinc_finger_protein_326
Q5BKZ1	zinc_finger_protein_interacting_with_mrnps_and_dbc1
Q5C9Z4	nucleolar_mif4g_domain-containing_protein_1
Q5C9Z4	sgd1_homolog
Q5D862	filaggrin-2
Q5D862	intermediate_filament-associated_and_psoriasis-susceptibility_protein
Q5EG47	5'-amp-activated_protein_kinase_catalytic_subunit_acetyl-coa_carboxylase_kinase
Q5EG47	acetyl-coa_carboxylase_kinase
Q5EG47	hydroxymethylglutaryl-coa_reductase_kinase
Q5EG47	tau-protein_kinase_prkaa1
Q5HZK1	centrosomal_protein_of_44_kda
Q5JSH3	rabphilin-11
Q5JSH3	wd_repeat-containing_protein_44
Q5JSH3-2	isoform_2_of_wd_repeat-containing_protein_44
Q5JSH3-2	rabphilin-11
Q5JTD0-2	isoform_2_of_tight_junction-associated_protein_1
Q5JTD0-2	protein_incorporated_later_into_tight_junctions
Q5JTD0-2	tight_junction_protein_4
Q5JWF2	adenylate_cyclase-stimulating_g_alpha_protein
Q5JWF2	extra_large_alphas_protein
Q5JWF2	guanine_nucleotide-binding_protein_g(s)_subunit_aladenylate_cyclase-stimulating_g_alpha_protein
Q5QNW6	h2b-clustered_histone_18
Q5QNW6	histone_h2b_type_2-f
Q5S007	dardarin
Q5S007	leucine-rich_repeat_serine/threonine-protein_kinasdardarin
Q5SQT9	sar1_gene_homolog_a_(s._cerevisiae),_isoform_cra_asmall_gtp-binding_protein
Q5SQT9	small_gtp-binding_protein
Q5SQX6	cytoplasmic_fmr1-interacting_protein_2
Q5SQX6	p53-inducible_protein_121
Q5SW79	centrosomal_protein_of_170_kda
Q5SW79	karp-1-binding_protein
Q5SWX8	lag1-interacting_protein
Q5SWX8	protein_odr-4_homolog
Q5SWX8	transactivated_by_transforming_growth_factor_beta_protein_1
Q5SXH7	epididymis_luminal_protein_185
Q5SXH7	pleckstrin_homology_domain-containing_family_s_memepididymis_luminal_protein_185
Q5SXM2	proximal_sequence_element-binding_transcription_fasnrna-activating_protein_complex_190_kda_subunit
Q5SXM2	snrna-activating_protein_complex_190_kda_subunit
Q5SXM2	snrna-activating_protein_complex_subunit_4
Q5SZK8	ecm3_homolog
Q5SZK8	fras1-related_extracellular_matrix_protein_2
Q5T081	chc1_protein
Q5T081	regulator_of_chromosome_condensation_1_isoform_1
Q5T081	regulator_of_chromosome_condensation_1,_isoform_cra_b
Q5T0Z8	uncharacterized_protein_c6orf132
Q5T4S7	600_kda_retinoblastoma_protein-associated_factor
Q5T4S7	e3_ubiquitin-protein_ligase_ubr4
Q5T4S7	n-recognin-4
Q5T4S7	retinoblastoma-associated_factor_of_600_kda
Q5T4S7	ring-type_e3_ubiquitin_transferase_ubr4
Q5T4S7	zinc_finger_ubr1-type_protein_1
Q5T5X7	ben_domain-containing_protein_3
Q5T7B8	kinesin-like_protein_kif24
Q5T7N2	es_cell-associated_protein_11
Q5T7N2	line-1_type_transposase_domain-containing_protein_es_cell-associated_protein_11
Q5TB80	centrosomal_protein_of_162_kda
Q5TB80	protein_qn1_homolog
Q5TC79	zinc_finger_and_btb_domain-containing_protein_37
Q5TCX8	mitogen-activated_protein_kinase_kinase_kinase_21
Q5TCX8	mitogen-activated_protein_kinase_kinase_kinase_mlkmixed_lineage_kinase_4
Q5TCX8	mixed_lineage_kinase_4
Q5TCZ1	adapter_protein_tks5
Q5TCZ1	five_sh3_domain-containing_protein
Q5TCZ1	sh3_and_px_domain-containing_protein_2a
Q5TCZ1	sh3_multiple_domains_protein_1
Q5TCZ1	tyrosine_kinase_substrate_with_five_sh3_domains
Q5TEA6	protein_sel-1_homolog_2
Q5TEA6	suppressor_of_lin-12-like_protein_2
Q5UIP0	rap1-interacting_factor_1_homolog
Q5UIP0	telomere-associated_protein_rif1
Q5VWQ8-2	ask-interacting_protein_1
Q5VWQ8-2	doc-2/dab-2_interactive_protein
Q5VWQ8-2	isoform_2_of_disabled_homolog_2-interacting_proteiask-interacting_protein_1
Q5VYS4	activated_in_w/wv_mouse_stomach_3_homolog
Q5VYS4	mesenteric_estrogen-dependent_adipogenesis_proteinactivated_in_w/wv_mouse_stomach_3_homolog
Q5VYS4	mesenteric_estrogen-dependent_adipose_4
Q5W0Q7	sumo-specific_isopeptidase_uspl1
Q5W0Q7	ubiquitin-specific_peptidase-like_protein_1
Q5XKP0	micos_complex_subunit_mic13
Q5XKP0	protein_p117
Q5ZER6	v_protein
Q60591-3	isoform_c_of_nuclear_factor_of_activated_t-cells,_nfat_pre-existing_subunit
Q60591-3	nfat_pre-existing_subunit
Q60591-3	t-cell_transcription_factor_nfat1
Q60592	microtubule-associated_serine/threonine-protein_kinase_2
Q60634	epidermal_surface_antigen
Q60634	flotillin-2
Q60634	membrane_component_chromosome_17_surface_marker_1_homolog
Q60992	guanine_nucleotide_exchange_factor_vav2
Q61699	42_degrees_c-hsp
Q61699	heat_shock_110_kda_protein
Q61699	heat_shock_protein_105_kda
Q61699	heat_shock-related_100_kda_protein_e7i
Q61879	cellular_myosin_heavy_chain,_type_b
Q61879	myosin_heavy_chain_10
Q61879	myosin_heavy_chain,_non-muscle_iib
Q61879	myosin-10
Q61879	non-muscle_myosin_heavy_chain_b
Q61879	non-muscle_myosin_heavy_chain_iib
Q62018	rna_polymerase-associated_protein_ctr9_homolog
Q62018	sh2_domain-binding_protein_1
Q62018	tetratricopeptide_repeat-containing,_sh2-binding_phosphoprotein_of_150_kda
Q62073	mitogen-activated_protein_kinase_kinase_kinase_7
Q62073	transforming_growth_factor-beta-activated_kinase_1
Q62406	interleukin-1_receptor-associated_kinase_1
Q62406	pelle-like_protein_kinase
Q62627	prkc_apoptosis_wt1_regulator_protein
Q62627	prostate_apoptosis_response_4_protein
Q62627	transcriptional_repressor_par-4-like_protein_pawr
Q63155	netrin_receptor_dcc
Q63155	tumor_suppressor_protein_dcc
Q641Q2	wash_complex_subunit_2a
Q643R3	1-acylglycerol-3-phosphate_o-acyltransferase_7
Q643R3	1-acylglycerophosphocholine_o-acyltransferase
Q643R3	1-acylglycerophosphoserine_o-acyltransferase
Q643R3	1-alkenylglycerophosphoethanolamine_o-acyltransfer1-alkylglycerophosphocholine_o-acetyltransferase
Q643R3	1-alkylglycerophosphocholine_o-acetyltransferase
Q643R3	acyltransferase-like_3
Q643R3	lysophosphatidylcholine_acyltransferase_4
Q643R3	lysophosphatidylethanolamine_acyltransferase_2
Q643R3	lysophospholipid_acyltransferase_lpcat4
Q643R3	plasmalogen_synthase
Q658P3-2	dudulin-2
Q658P3-2	isoform_2_of_metalloreductase_steap3
Q658P3-2	phyde
Q658P3-2	six-transmembrane_epithelial_antigen_of_prostate_3tumor_suppressor-activated_pathway_protein_6
Q658P3-2	tumor_suppressor-activated_pathway_protein_6
Q66677	card_domain-containing_protein_e10
Q66GS9	centrosomal_protein_4
Q66GS9	centrosomal_protein_of_135_kda
Q66K74	bpy2-interacting_protein_1
Q66K74	map1s_heavy_chain
Q66K74	map1s_light_chain
Q66K74	microtubule-associated_protein_1s
Q66K74	microtubule-associated_protein_8
Q66K74	variable_charge_y_chromosome_2-interacting_proteinmap1s_heavy_chain
Q66LE6	pp2a_subunit_b_isoform_b55-delta
Q66LE6	pp2a_subunit_b_isoform_delta
Q66LE6	pp2a_subunit_b_isoform_pr55-delta
Q66LE6	pp2a_subunit_b_isoform_r2-delta
Q66LE6	serine/threonine-protein_phosphatase_2a_55_kda_regpp2a_subunit_b_isoform_b55-delta
Q66PJ3-4	hsp-975
Q66PJ3-4	hsvi-binding_protein
Q66PJ3-4	isoform_4_of_adp-ribosylation_factor-like_protein_hsp-975
Q66PJ3-4	splicing_factor_srrp37
Q66PJ3-4	sr-15
Q66PJ3-4	srp25
Q68CZ1	nephrocystin-8
Q68CZ1	protein_fantom
Q68CZ1	rpgr-interacting_protein_1-like_protein
Q68E01	integrator_complex_subunit_3
Q68E01	sensor_of_single-strand_dna_complex_subunit_a
Q68E01	soss_complex_subunit_a
Q68J44	dual_specificity_phosphatase_27
Q68J44	dual_specificity_phosphatase_dupd1
Q69117	tripartite_terminase_subunit_2
Q6A068	cdc5-like_protein
Q6A068	cell_division_cycle_5-like_protein
Q6EMK4	protein_slit-like_2
Q6EMK4	vasorin
Q6FGD7	tubulin-specific_chaperone_a
Q6FHQ0	rbbp7_protein
Q6FHQ0	retinoblastoma_binding_protein_7
Q6FHQ0	retinoblastoma_binding_protein_7,_isoform_cra_a
Q6FIF0	an1-type_zinc_finger_protein_6
Q6FIF0	associated_with_prk1_protein
Q6FIF0	zinc_finger_a20_domain-containing_protein_3
Q6GQQ9	cellular_zinc_finger_anti-nf-kappa-b_protein
Q6GQQ9	otu_domain-containing_protein_7b
Q6GQQ9	zinc_finger_a20_domain-containing_protein_1
Q6GQQ9	zinc_finger_protein_cezanne
Q6IQ23	pleckstrin_homology_domain-containing_family_a_member_7
Q6IQ26	denn_domain-containing_protein_5a
Q6IQ26	rab6-interacting_protein_1
Q6KB66	cytokeratin-80
Q6KB66	keratin,_type_ii_cytoskeletal_80
Q6KB66	keratin-80
Q6KB66	type-ii_keratin_kb20
Q6KC79	delangin
Q6KC79	nipped-b-like_protein
Q6KC79	scc2_homolog
Q6NSI1	putative_ankyrin_repeat_domain-containing_protein_26-like_protein
Q6NUM9	all-trans-13,14-dihydroretinol_saturase
Q6NUM9	all-trans-retinol_13,14-reductase
Q6NUM9	ppar-alpha-regulated_and_starvation-induced_gene_protein
Q6P087-2	isoform_2_of_mitochondrial_mrna_pseudouridine_syntrna_pseudouridylate_synthase_domain-containing_protein_3
Q6P087-2	rna_pseudouridylate_synthase_domain-containing_protein_3
Q6P158	deah_box_protein_57
Q6P158	putative_atp-dependent_rna_helicase_dhx57
Q6P1J9	cell_division_cycle_protein_73_homolog
Q6P1J9	hyperparathyroidism_2_protein
Q6P1J9	parafibromin
Q6P2E9	autoantigen_ge-1
Q6P2E9	autoantigen_rcd-8
Q6P2E9	enhancer_of_mrna-decapping_protein_4
Q6P2E9	human_enhancer_of_decapping_large_subunit
Q6P2H3	centrosomal_protein_of_85_kda
Q6P2H3	coiled-coil_domain-containing_protein_21
Q6P2I7	endogenous_borna-like_n_element-2
Q6P2I7	endogenous_bornavirus-like_nucleoprotein_2
Q6P2K6	serine/threonine-protein_phosphatase_4_regulatory_smek_homolog_1
Q6P2K6	smek_homolog_1
Q6P2Q9	220_kda_u5_snrnp-specific_protein
Q6P2Q9	p220
Q6P2Q9	pre-mrna-processing-splicing_factor_8
Q6P2Q9	prp8_homolog
Q6P2Q9	splicing_factor_prp8
Q6P3W7	coated_vesicle-associated_kinase_of_104_kda
Q6P3W7	scy1-like_protein_2
Q6P5D4	centrosomal_protein_4
Q6P5D4	centrosomal_protein_of_135_kda
Q6P5R6	60s_ribosomal_protein_l22-like_1
Q6P5R6	large_ribosomal_subunit_protein_el22-like_1
Q6P5Z2	protein_kinase_pkn-beta
Q6P5Z2	protein-kinase_c-related_kinase_3
Q6P5Z2	serine/threonine-protein_kinase_n3
Q6P9H4	cnk_homolog_protein_3
Q6P9H4	cnksr_family_member_3
Q6P9H4	connector_enhancer_of_kinase_suppressor_of_ras_3
Q6P9H4	maguin-like_protein
Q6PB44	tyrosine-protein_phosphatase_non-receptor_type_23
Q6PD62	rna_polymerase-associated_protein_ctr9_homolog
Q6PD62	sh2_domain-binding_protein_1
Q6PEY2	alpha-tubulin_3e
Q6PEY2	detyrosinated_tubulin_alpha-3e_chain
Q6PEY2	tubulin_alpha-3e_chain
Q6PHR2	serine/threonine-protein_kinase_ulk3
Q6PHR2	unc-51-like_kinase_3
Q6PID8-2	isoform_2_of_kelch_domain-containing_protein_10
Q6PIV2	forkhead_box_protein_n5
Q6PIV2	forkhead_box_protein_r1
Q6PJG2	elm2_and_sant_domain-containing_protein_1
Q6PJG2	mitotic_deacetylase-associated_sant_domain_proteinelm2_and_sant_domain-containing_protein_1
Q6T4R5	congenital_cataracts_and_dental_anomalies_protein
Q6T4R5	nance-horan_syndrome_protein
Q6TV27	v_protein
Q6UVY6	dbh-like_monooxygenase_protein_1
Q6UVY6	monooxygenase_x
Q6UWB1	cytokine_receptor-like_1
Q6UWB1	cytokine_receptor_wsx-1
Q6UWB1	interleukin-27_receptor_subunit_alpha
Q6UWB1	type_i_t-cell_cytokine_receptor
Q6UWB1	zcytor1
Q6UWF3	slp_adapter_and_csk-interacting_membrane_protein
Q6UWF3	slp65/slp76,_csk-interacting_membrane_protein
Q6UWR7	choline-specific_glycerophosphodiester_phosphodiesectonucleotide_pyrophosphatase/phosphodiesterase_family_member_6
Q6UWR7	ectonucleotide_pyrophosphatase/phosphodiesterase_family_member_6
Q6UWR7	glycerophosphocholine_cholinephosphodiesterase_enpcholine-specific_glycerophosphodiester_phosphodiesectonucleotide_pyrophosphatase/phosphodiesterase_family_member_6
Q6UXL0	fibronectin_type_iii_domain_containing_6
Q6UXL0	il-20r2
Q6UXL0	interleukin-20_receptor_subunit_beta
Q6UXV4	apolipoprotein_o-like
Q6UXV4	micos_complex_subunit_mic27
Q6UXV4	protein_fam121a
Q6V0I7-3	cadherin_family_member_14
Q6V0I7-3	fat_tumor_suppressor_homolog_4
Q6V0I7-3	fat-like_cadherin_protein_fat-j
Q6V0I7-3	isoform_3_of_protocadherin_fat_4
Q6W2J9	bcl-6_corepressor
Q6WCQ1	myosin_phosphatase_rho-interacting_protein
Q6WCQ1	p116rip
Q6WCQ1	rho-interacting_protein_3
Q6YHU6-3	gene_inducing_thyroid_adenomas_protein
Q6YHU6-3	isoform_3_of_thyroid_adenoma-associated_protein
Q6ZNQ3	leucine-rich_repeat-containing_protein_69
Q6ZQN5	forkhead_box_protein_i2
Q6ZSJ8	protein_alaesm
Q6ZSJ8	uncharacterized_protein_c1orf122
Q6ZT12	e3_ubiquitin-protein_ligase_ubr3
Q6ZT12	n-recognin-3
Q6ZT12	ring-type_e3_ubiquitin_transferase_ubr3
Q6ZT12	ubiquitin-protein_ligase_e3-alpha-3
Q6ZT12	ubiquitin-protein_ligase_e3-alpha-iii
Q6ZT12	zinc_finger_protein_650
Q6ZTN6	ankyrin_repeat_domain-containing_protein_13d
Q6ZU35	cancer-related_regulator_of_actin_dynamics
Q6ZU35	capping_protein_inhibiting_regulator_of_actin_dynacancer-related_regulator_of_actin_dynamics
Q6ZU80	centrosomal_protein_of_128_kda
Q6ZUJ8	b-cell_adapter_for_phosphoinositide_3-kinase
Q6ZUJ8	b-cell_phosphoinositide_3-kinase_adapter_protein_1
Q6ZUJ8	phosphoinositide_3-kinase_adapter_protein_1
Q6ZV73	fyve,_rhogef_and_ph_domain-containing_protein_6
Q6ZV73	zinc_finger_fyve_domain-containing_protein_24
Q6ZV89	sh2_domain-containing_protein_5
Q6ZVD8	ph_domain_leucine-rich_repeat-containing_protein_phosphatase-like
Q6ZVD8	ph_domain_leucine-rich_repeat-containing_protein_pph_domain_leucine-rich_repeat-containing_protein_phosphatase-like
Q6ZWV7	60s_ribosomal_protein_l35
Q70EL1	inactive_ubiquitin_carboxyl-terminal_hydrolase_54
Q70EL1	inactive_ubiquitin-specific_peptidase_54
Q70UQ0-4	isoform_4_of_inhibitor_of_nuclear_factor_kappa-b_kinase-interacting_protein
Q71U36	alpha-tubulin_3
Q71U36	detyrosinated_tubulin_alpha-1a_chain
Q71U36	tubulin_alpha-1a_chain
Q71U36	tubulin_alpha-3_chain
Q71U36	tubulin_b-alpha-1
Q75MH1	40s_ribosomal_protein_s26
Q75QN2	integrator_complex_subunit_8
Q75QN2	protein_kaonashi-1
Q75VX8	grb2-associated_and_regulator_of_mapk1-like
Q75VX8	grb2-associated_and_regulator_of_mapk_protein_2
Q76L83	additional_sex_combs-like_protein_2
Q76L83	putative_polycomb_group_protein_asxl2
Q77M19	v_protein
Q77Q82	k9
Q77Q82	latent_viral_interferon_regulatory_factor
Q77Q82	lytic_viral_interferon_regulatory_factor
Q77Q82	orf_k9
Q77Q82	virf1
Q77Q82	virf-1
Q77Q82	virf-1_protein
Q7KZI7	elkl_motif_kinase_1
Q7KZI7	map/microtubule_affinity-regulating_kinase_2
Q7KZI7	par1_homolog
Q7KZI7	par1_homolog_b
Q7KZI7	serine/threonine-protein_kinase_mark2
